epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,302.978,0.70236,0.44981,1.01055,0.98793,0.86752,0.86923,0.78355,0.50081,0.28394,0.8194,0.0007294,0.0007294,0.0007294
43,309.452,0.70846,0.43994,1.02367,0.99067,0.86752,0.86945,0.72892,0.67371,0.36924,0.8672,0.0007228,0.0007228,0.0007228
44,317.15,0.67777,0.44367,1.02113,0.99267,0.86752,0.86805,0.77021,0.55678,0.32173,0.83235,0.0007162,0.0007162,0.0007162
45,323.378,0.70657,0.44419,1.03043,0.9858,0.86752,0.86789,0.79414,0.44533,0.31999,0.79793,0.0007096,0.0007096,0.0007096
46,330.949,0.67267,0.43001,0.99847,0.98551,0.86752,0.8762,0.80116,0.49924,0.32352,0.80592,0.000703,0.000703,0.000703
47,337.249,0.71715,0.44334,1.02681,0.99204,0.86752,0.88135,0.76969,0.61042,0.3175,0.83572,0.0006964,0.0006964,0.0006964
48,344.723,0.70842,0.45304,1.01626,0.98756,0.86752,0.87442,0.7966,0.50814,0.32235,0.81759,0.0006898,0.0006898,0.0006898
49,351.032,0.70654,0.4474,1.02149,0.99138,0.86752,0.87479,0.77668,0.55578,0.34139,0.83186,0.0006832,0.0006832,0.0006832
50,358.465,0.70791,0.45493,1.04536,0.98801,0.86752,0.87637,0.77426,0.5043,0.32368,0.81651,0.0006766,0.0006766,0.0006766
51,364.991,0.7204,0.45218,1.04444,0.98877,0.86752,0.87706,0.78446,0.48897,0.30344,0.82185,0.00067,0.00067,0.00067
52,371.703,0.6768,0.42639,1.01281,0.98688,0.86752,0.88004,0.80947,0.44994,0.27327,0.81497,0.0006634,0.0006634,0.0006634
53,378.175,0.663,0.45677,1.02764,0.99086,0.86752,0.88339,0.81763,0.43949,0.28398,0.81199,0.0006568,0.0006568,0.0006568
54,385.431,0.70713,0.45888,1.03971,0.9928,0.86752,0.87896,0.82145,0.46465,0.29935,0.80548,0.0006502,0.0006502,0.0006502
55,392.595,0.69226,0.42714,1.01025,0.99137,0.86752,0.87755,0.77594,0.54846,0.30517,0.82252,0.0006436,0.0006436,0.0006436
56,399.691,0.6847,0.41749,1.00893,0.9919,0.86752,0.8697,0.7892,0.48217,0.27991,0.80018,0.000637,0.000637,0.000637
57,406.457,0.71963,0.43964,1.02659,0.99126,0.86752,0.87053,0.72222,0.69312,0.34013,0.87228,0.0006304,0.0006304,0.0006304
58,413.118,0.69942,0.43254,0.99665,0.99243,0.86752,0.87384,0.7784,0.52027,0.2905,0.8092,0.0006238,0.0006238,0.0006238
59,420.406,0.69317,0.44296,1.01974,0.99154,0.86752,0.87958,0.78174,0.54204,0.31519,0.81874,0.0006172,0.0006172,0.0006172
60,426.922,0.65345,0.40506,1.00121,0.99427,0.86752,0.88916,0.84478,0.38037,0.25743,0.78109,0.0006106,0.0006106,0.0006106
61,433.877,0.65309,0.40054,1.00288,0.99339,0.86752,0.88747,0.82007,0.43829,0.26752,0.79249,0.000604,0.000604,0.000604
62,440.208,0.64835,0.39018,0.98508,0.99363,0.86752,0.88296,0.83021,0.36485,0.25156,0.78374,0.0005974,0.0005974,0.0005974
63,447.48,0.66543,0.42209,1.0094,0.99382,0.86752,0.87328,0.80241,0.49933,0.28149,0.8135,0.0005908,0.0005908,0.0005908
64,453.903,0.64671,0.4032,0.98933,0.99426,0.86752,0.87142,0.82266,0.45563,0.27853,0.8224,0.0005842,0.0005842,0.0005842
65,461.193,0.66881,0.42243,1.01336,0.99091,0.86752,0.87387,0.81556,0.48074,0.27619,0.80768,0.0005776,0.0005776,0.0005776
66,468.213,0.67022,0.38125,1.01024,0.99065,0.86752,0.87019,0.78738,0.5037,0.30143,0.82491,0.000571,0.000571,0.000571
67,475.457,0.66581,0.39526,0.9988,0.99248,0.86752,0.86896,0.82894,0.36949,0.25722,0.79036,0.0005644,0.0005644,0.0005644
68,481.809,0.60332,0.37604,0.97089,0.98911,0.86752,0.88078,0.83804,0.34857,0.25687,0.78944,0.0005578,0.0005578,0.0005578
69,489.209,0.6105,0.35216,0.98533,0.98068,0.86752,0.87648,0.85419,0.33576,0.2742,0.78659,0.0005512,0.0005512,0.0005512
70,495.758,0.63416,0.39229,1.00099,0.97881,0.86752,0.87715,0.84843,0.37711,0.32359,0.79124,0.0005446,0.0005446,0.0005446
71,503.428,0.63533,0.36731,0.99691,0.99263,0.86752,0.87504,0.81639,0.41601,0.27216,0.79364,0.000538,0.000538,0.000538
72,509.908,0.6564,0.38572,0.98588,0.99437,0.86752,0.8678,0.74793,0.68649,0.30442,0.86605,0.0005314,0.0005314,0.0005314
73,516.695,0.66764,0.40957,1.00935,0.99196,0.86752,0.87787,0.80559,0.47977,0.28221,0.80937,0.0005248,0.0005248,0.0005248
74,523.599,0.64232,0.39729,0.99995,0.99233,0.86752,0.8783,0.81716,0.41822,0.24069,0.79685,0.0005182,0.0005182,0.0005182
75,530.444,0.61348,0.38974,0.97692,0.99288,0.86752,0.8755,0.8181,0.39503,0.25694,0.7985,0.0005116,0.0005116,0.0005116
76,537.493,0.66728,0.38951,1.00981,0.99232,0.86752,0.8833,0.81847,0.42292,0.26845,0.80994,0.000505,0.000505,0.000505
77,544.175,0.61944,0.36975,0.97156,0.99048,0.86752,0.88067,0.82856,0.39294,0.28059,0.79595,0.0004984,0.0004984,0.0004984
78,551.491,0.62944,0.38561,1.00235,0.9847,0.86752,0.89804,0.80769,0.48224,0.27845,0.81079,0.0004918,0.0004918,0.0004918
79,557.715,0.61243,0.36168,0.96669,0.99388,0.86752,0.89701,0.78353,0.50975,0.28102,0.81468,0.0004852,0.0004852,0.0004852
80,565.27,0.61565,0.39292,0.98517,0.99269,0.86752,0.89783,0.8201,0.47409,0.2725,0.80195,0.0004786,0.0004786,0.0004786
81,571.41,0.56731,0.34708,0.94876,0.99163,0.86752,0.89263,0.83264,0.39246,0.23901,0.78229,0.000472,0.000472,0.000472
82,578.344,0.62544,0.38194,0.99331,0.99285,0.86752,0.89238,0.83321,0.39582,0.248,0.78123,0.0004654,0.0004654,0.0004654
83,584.636,0.62879,0.3851,0.97285,0.9961,0.86752,0.88939,0.82913,0.40735,0.23813,0.78439,0.0004588,0.0004588,0.0004588
84,591.97,0.61677,0.36663,0.97498,0.99384,0.86752,0.88656,0.83865,0.35808,0.21535,0.77541,0.0004522,0.0004522,0.0004522
85,598.528,0.66404,0.39995,1.01927,0.99198,0.86752,0.88652,0.82852,0.43432,0.24282,0.79257,0.0004456,0.0004456,0.0004456
